iter	RMSE
0	14.52495224
1	14.07277658
2	13.60940093
3	13.16287076
4	12.78329959
5	12.43393058
6	12.04124568
7	11.71913069
8	11.38403896
9	11.06176398
10	10.76072508
11	10.47092491
12	10.21935224
13	9.947493391
14	9.752469582
15	9.512539989
16	9.319312057
17	9.119027298
18	8.952730931
19	8.784492297
20	8.615842228
21	8.450012525
22	8.284421491
23	8.156173902
24	8.019396096
25	7.884786452
26	7.775423413
27	7.653440541
28	7.515379267
29	7.414160255
30	7.304174307
31	7.221267594
32	7.128444565
33	7.040771593
34	6.943665634
35	6.872882443
36	6.780367282
37	6.714445698
38	6.634461674
39	6.574427685
40	6.522674073
41	6.457662413
42	6.410161929
43	6.363529264
44	6.310778907
45	6.260742831
46	6.210893393
47	6.170011413
48	6.12812403
49	6.094257514
50	6.055475821
51	6.01703691
52	5.979465859
53	5.943164501
54	5.910355564
55	5.88766601
56	5.861562448
57	5.838943901
58	5.8093699
59	5.790396175
60	5.762916553
61	5.743909028
62	5.727065017
63	5.70504873
64	5.691796907
65	5.677994873
66	5.664743918
67	5.646085066
68	5.628577832
69	5.612604147
70	5.595616085
71	5.575591084
72	5.561969782
73	5.551689123
74	5.542125472
75	5.529112249
76	5.517018565
77	5.505519213
78	5.495204703
79	5.480938742
80	5.468382947
81	5.457435041
82	5.45020378
83	5.439612692
84	5.432666105
85	5.426178086
86	5.413433819
87	5.404026304
88	5.394524133
89	5.383821577
90	5.376952854
91	5.371919078
92	5.362626106
93	5.357451076
94	5.354209514
95	5.344003717
96	5.336834477
97	5.326844241
98	5.322451183
99	5.31621871
100	5.307498972
101	5.303661602
102	5.294994171
103	5.288091186
104	5.282881356
105	5.277711556
106	5.272357094
107	5.267661495
108	5.262033624
109	5.256660083
110	5.250346424
111	5.243967811
112	5.241104131
113	5.237679746
114	5.231823941
115	5.223829528
116	5.219821788
117	5.214094703
118	5.208539145
119	5.205369669
120	5.201171546
121	5.198037852
122	5.193783225
123	5.191027182
124	5.189997511
125	5.186295141
126	5.183254423
127	5.179786783
128	5.173255074
129	5.170389152
130	5.165857343
131	5.158729928
132	5.154203195
133	5.14570573
134	5.14411441
135	5.141377239
136	5.137003
137	5.134220217
138	5.126740664
139	5.124214313
140	5.121795244
141	5.11883974
142	5.113465684
143	5.109782883
144	5.104626544
145	5.102001113
146	5.100218721
147	5.092076376
148	5.089901927
149	5.087631522
150	5.085160231
151	5.083148878
152	5.081160419
153	5.079323082
154	5.074152827
155	5.069301769
156	5.064346579
157	5.062390327
158	5.059092838
159	5.057242687
160	5.055289116
161	5.048210888
162	5.04082531
163	5.035653884
164	5.02868831
165	5.026897408
166	5.02407381
167	5.020517929
168	5.015300738
169	5.012234066
170	5.006249365
171	5.003032495
172	4.997719904
173	4.995006378
174	4.99383139
175	4.992104937
176	4.990114392
177	4.987830503
178	4.985586553
179	4.98042429
180	4.976192224
181	4.968629209
182	4.965144785
183	4.962280167
184	4.956150185
185	4.953241231
186	4.949864358
187	4.94453844
188	4.942900407
189	4.941046011
190	4.935314392
191	4.933857956
192	4.928790979
193	4.926022004
194	4.92031143
195	4.918363406
196	4.912800416
197	4.907994425
198	4.905382605
199	4.903036266
