iter	Passed	Remaining
0	0	173
1	1	138
2	2	132
3	2	123
4	3	120
5	3	116
6	4	113
7	4	114
8	5	113
9	5	109
10	6	107
11	6	106
12	7	103
13	7	101
14	8	99
15	8	98
16	8	96
17	9	95
18	9	93
19	10	92
20	10	91
21	11	91
22	11	89
23	12	89
24	12	89
25	13	88
26	13	86
27	13	85
28	14	84
29	14	83
30	15	82
31	15	81
32	15	79
33	16	78
34	16	77
35	16	76
36	17	75
37	17	74
38	17	73
39	18	72
40	18	71
41	18	70
42	19	70
43	19	69
44	20	69
45	20	69
46	21	69
47	21	69
48	22	68
49	22	67
50	22	66
51	22	65
52	23	64
53	23	63
54	23	62
55	24	62
56	24	61
57	24	60
58	25	59
59	25	59
60	25	58
61	26	57
62	26	57
63	26	56
64	26	56
65	27	55
66	27	54
67	27	54
68	28	53
69	28	52
70	28	52
71	29	51
72	29	51
73	29	50
74	30	50
75	30	49
76	30	49
77	30	48
78	31	47
79	31	47
80	31	46
81	32	46
82	32	45
83	32	45
84	33	44
85	33	44
86	33	43
87	34	43
88	34	42
89	34	42
90	35	42
91	35	41
92	35	41
93	36	40
94	36	40
95	36	39
96	37	39
97	37	39
98	38	38
99	38	38
100	39	38
101	39	37
102	39	37
103	40	36
104	40	36
105	40	36
106	41	35
107	41	35
108	41	34
109	42	34
110	42	34
111	42	33
112	43	33
113	43	32
114	44	32
115	44	32
116	44	31
117	44	31
118	45	30
119	45	30
120	45	29
121	46	29
122	46	29
123	47	28
124	47	28
125	47	28
126	48	27
127	48	27
128	48	26
129	49	26
130	49	25
131	49	25
132	50	25
133	50	24
134	50	24
135	51	24
136	51	23
137	51	23
138	52	22
139	52	22
140	52	22
141	53	21
142	53	21
143	53	20
144	54	20
145	54	20
146	55	19
147	55	19
148	55	19
149	56	18
150	56	18
151	56	17
152	57	17
153	57	17
154	57	16
155	58	16
156	58	16
157	59	15
158	59	15
159	60	15
160	60	14
161	61	14
162	61	13
163	61	13
164	62	13
165	62	12
166	62	12
167	63	12
168	63	11
169	64	11
170	64	10
171	64	10
172	65	10
173	65	9
174	65	9
175	66	9
176	66	8
177	66	8
178	67	7
179	67	7
180	68	7
181	68	6
182	68	6
183	69	6
184	69	5
185	69	5
186	70	4
187	70	4
188	70	4
189	71	3
190	71	3
191	72	3
192	72	2
193	72	2
194	73	1
195	73	1
196	73	1
197	74	0
198	74	0
199	75	0
